4 Jhin
ali Alistar
asol AurelionSol
au AurelionSol
bear Volibear
blitz Blitzcrank
cait Caitlyn
cass Cassiopeia
cho Chogath
croc Renekton
eve Evelynn
ez Ezreal
fiddle Fiddlesticks
gp Gangplank
grag Gragas
hec Hecarim
heim Heimerdinger
heimer Heimerdinger
j4 JarvanIV
k6 Khazix
kal Kalista
kas Kassadin
kass Kassadin
kat Katarina
ken Kennen
kench TahmKench
kha Khazix
kin Kindred
kog KogMaw
koz VelKoz
lamb Kindred
lb LeBlanc
lee LeeSin
lis Lissandra
liss Lissandra
luc Lucian
malph Malphite
malz Malzahar
mao Maokai
mf MissFortune
miss MissFortune
morde MordeKaiser
morg Morgana
mundo DrMundo
naut Nautilus
nid Nidalee
noc Nocturne
noct Nocturne
ori Orianna
panth Pantheon
raka Soraka
rat Twitch
rek RekSai
renek Renekton
rengo Rengar
riv Riven
rock Malphite
sej Sejuani
shyv Shyvana
siv Sivir
skar Skarner
sol AurelionSol
tahm TahmKench
tf TwistedFate
tk TahmKench
trist Tristana
troll Trundle
trynd Tryndamere
vana Shyvana
veig Veigar
vel VelKoz
vik Viktor
vlad Vladimir
voli Volibear
wk MonkeyKing
wolf Kindred
wu MonkeyKing
wukong MonkeyKing
ww Warwick
xin XinZhao
yas Yasuo
yi MasterYi
zil Zilean
